# Temperature 	 Temp_diff 	 Eng_diff 	 Heat_cap 	
1.330118 	 0.000000 	 0.000000 	 -nan 
1.330118 	 0.614124 	 58.034690 	 47.250000 
1.944242 	 1.396866 	 132.003821 	 47.250000 
3.341108 	 1.368648 	 129.337247 	 47.250000 
4.709756 	 1.043777 	 98.636905 	 47.250000 
5.753532 	 0.691214 	 65.319741 	 47.250000 
6.444747 	 0.469914 	 44.406906 	 47.250000 
6.914661 	 0.372322 	 35.184459 	 47.250000 
7.286983 	 0.311013 	 29.390704 	 47.250000 
7.597996 	 0.250931 	 23.713023 	 47.250000 
7.848928 	 0.146066 	 13.803271 	 47.250000 
7.994994 	 -0.216607 	 -20.469330 	 47.250000 
7.778387 	 -1.408702 	 -133.122366 	 47.250000 
6.369685 	 -1.920467 	 -181.484164 	 47.250000 
4.449218 	 0.440200 	 41.598921 	 47.250000 
4.889418 	 0.724030 	 68.420878 	 47.250000 
5.613448 	 0.113951 	 10.768367 	 47.250000 
5.727399 	 0.111919 	 10.576324 	 47.250000 
5.839318 	 0.090253 	 8.528899 	 47.250000 
5.929571 	 -0.653864 	 -61.790131 	 47.250000 
5.275707 	 -0.488087 	 -46.124230 	 47.250000 
4.787620 	 0.619819 	 58.572904 	 47.250000 
5.407439 	 0.933032 	 88.171561 	 47.250000 
6.340471 	 0.699616 	 66.113704 	 47.250000 
7.040087 	 0.165543 	 15.643850 	 47.250000 
7.205631 	 -0.237112 	 -22.407127 	 47.250000 
6.968518 	 -0.287247 	 -27.144830 	 47.250000 
6.681271 	 -0.671870 	 -63.491712 	 47.250000 
6.009401 	 -0.456634 	 -43.151891 	 47.250000 
5.552768 	 0.257400 	 24.324305 	 47.250000 
5.810168 	 0.508095 	 48.014940 	 47.250000 
6.318262 	 0.038183 	 3.608247 	 47.250000 
6.356445 	 -0.124366 	 -11.752625 	 47.250000 
6.232078 	 0.209368 	 19.785321 	 47.250000 
6.441447 	 0.272163 	 25.719413 	 47.250000 
6.713610 	 0.073716 	 6.966159 	 47.250000 
6.787326 	 -0.558042 	 -52.734946 	 47.250000 
6.229284 	 -0.020799 	 -1.965506 	 47.250000 
6.208485 	 0.282504 	 26.696637 	 47.250000 
6.490989 	 0.533188 	 50.386269 	 47.250000 
7.024177 	 -0.196771 	 -18.594838 	 47.250000 
6.827407 	 -0.624166 	 -58.983717 	 47.250000 
6.203240 	 0.068983 	 6.518865 	 47.250000 
6.272223 	 0.131952 	 12.469427 	 47.250000 
6.404175 	 0.171680 	 16.223756 	 47.250000 
6.575855 	 -0.273666 	 -25.861479 	 47.250000 
6.302188 	 -0.216926 	 -20.499476 	 47.250000 
6.085262 	 0.096806 	 9.148162 	 47.250000 
6.182068 	 0.053429 	 5.049082 	 47.250000 
6.235498 	 0.016473 	 1.556727 	 47.250000 
6.251971 	 -0.045705 	 -4.319161 	 47.250000 
6.206266 	 0.007088 	 0.669820 	 47.250000 
6.213354 	 0.017909 	 1.692390 	 47.250000 
6.231263 	 -0.498823 	 -47.138766 	 47.250000 
5.732440 	 -0.076494 	 -7.228697 	 47.250000 
5.655946 	 0.007064 	 0.667552 	 47.250000 
5.663010 	 0.063545 	 6.004982 	 47.250000 
5.726554 	 0.023303 	 2.202088 	 47.250000 
5.749857 	 -0.137376 	 -12.982037 	 47.250000 
5.612481 	 0.065397 	 6.180050 	 47.250000 
5.677878 	 0.314825 	 29.750960 	 47.250000 
5.992703 	 0.205922 	 19.459675 	 47.250000 
6.198626 	 0.102020 	 9.640855 	 47.250000 
6.300645 	 0.349355 	 33.014030 	 47.250000 
6.650000 	 0.331617 	 31.337761 	 47.250000 
6.981617 	 -0.106837 	 -10.096059 	 47.250000 
6.874780 	 -0.024680 	 -2.332276 	 47.250000 
6.850100 	 -0.283556 	 -26.796039 	 47.250000 
6.566544 	 -0.132759 	 -12.545680 	 47.250000 
6.433785 	 -0.355830 	 -33.625970 	 47.250000 
6.077955 	 -0.409375 	 -38.685968 	 47.250000 
5.668580 	 0.347145 	 32.805248 	 47.250000 
6.015725 	 0.049867 	 4.712468 	 47.250000 
6.065593 	 -0.107827 	 -10.189617 	 47.250000 
5.957766 	 0.479743 	 45.335745 	 47.250000 
6.437509 	 0.301511 	 28.492829 	 47.250000 
6.739021 	 -0.750669 	 -70.938176 	 47.250000 
5.988352 	 -0.944482 	 -89.253525 	 47.250000 
5.043870 	 0.113178 	 10.695300 	 47.250000 
5.157048 	 0.271309 	 25.638690 	 47.250000 
5.428357 	 0.448795 	 42.411093 	 47.250000 
5.877152 	 0.355116 	 33.558476 	 47.250000 
6.232268 	 0.032968 	 3.115481 	 47.250000 
6.265236 	 -0.542682 	 -51.283450 	 47.250000 
5.722554 	 0.112748 	 10.654675 	 47.250000 
5.835302 	 0.491496 	 46.446366 	 47.250000 
6.326798 	 0.059028 	 5.578144 	 47.250000 
6.385826 	 -0.127453 	 -12.044287 	 47.250000 
6.258373 	 -0.205378 	 -19.408240 	 47.250000 
6.052995 	 -0.050125 	 -4.736835 	 47.250000 
6.002869 	 -0.015821 	 -1.495114 	 47.250000 
5.987048 	 0.102666 	 9.701901 	 47.250000 
6.089714 	 0.504694 	 47.693547 	 47.250000 
6.594407 	 0.121811 	 11.511168 	 47.250000 
6.716219 	 -0.185128 	 -17.494587 	 47.250000 
6.531091 	 -0.148652 	 -14.047647 	 47.250000 
6.382438 	 -0.440577 	 -41.634495 	 47.250000 
5.941862 	 0.031426 	 2.969744 	 47.250000 
5.973288 	 0.071214 	 6.729765 	 47.250000 
6.044502 	 -0.253292 	 -23.936103 	 47.250000 
5.791210 	 0.360526 	 34.069709 	 47.250000 
6.151736 	 0.568410 	 53.714742 	 47.250000 
6.720146 	 0.130511 	 12.333302 	 47.250000 
6.850657 	 0.148495 	 14.032735 	 47.250000 
6.999152 	 -0.106227 	 -10.038496 	 47.250000 
6.892924 	 -0.253465 	 -23.952414 	 47.250000 
6.639459 	 -0.157672 	 -14.899971 	 47.250000 
6.481788 	 -0.055508 	 -5.245489 	 47.250000 
6.426280 	 -0.355769 	 -33.620135 	 47.250000 
6.070511 	 0.105588 	 9.978019 	 47.250000 
6.176099 	 0.560005 	 52.920445 	 47.250000 
6.736104 	 0.258600 	 24.437725 	 47.250000 
6.994704 	 -0.178011 	 -16.822052 	 47.250000 
6.816693 	 -0.313132 	 -29.591012 	 47.250000 
6.503560 	 -0.082780 	 -7.822673 	 47.250000 
6.420781 	 0.023384 	 2.209787 	 47.250000 
6.444165 	 -0.056384 	 -5.328328 	 47.250000 
6.387780 	 -0.259284 	 -24.502361 	 47.250000 
6.128496 	 0.226104 	 21.366812 	 47.250000 
6.354600 	 0.198649 	 18.772334 	 47.250000 
6.553249 	 0.050381 	 4.760990 	 47.250000 
6.603630 	 -0.030071 	 -2.841747 	 47.250000 
6.573558 	 -0.128963 	 -12.187006 	 47.250000 
6.444595 	 0.013378 	 1.264246 	 47.250000 
6.457974 	 0.171897 	 16.244261 	 47.250000 
6.629871 	 0.105454 	 9.965398 	 47.250000 
6.735324 	 -0.206867 	 -19.548945 	 47.250000 
6.528457 	 -0.299156 	 -28.270218 	 47.250000 
6.229302 	 -0.123950 	 -11.713288 	 47.250000 
6.105351 	 0.362504 	 34.256639 	 47.250000 
6.467856 	 -0.328606 	 -31.053298 	 47.250000 
6.139249 	 0.009593 	 0.906570 	 47.250000 
6.148843 	 0.730109 	 68.995320 	 47.250000 
6.878952 	 -0.111316 	 -10.519323 	 47.250000 
6.767636 	 -0.098832 	 -9.339608 	 47.250000 
6.668804 	 0.004877 	 0.460866 	 47.250000 
6.673681 	 -0.047091 	 -4.450133 	 47.250000 
6.626590 	 -0.047001 	 -4.441567 	 47.250000 
6.579589 	 -0.543352 	 -51.346802 	 47.250000 
6.036237 	 0.100272 	 9.475670 	 47.250000 
6.136508 	 0.379968 	 35.907015 	 47.250000 
6.516477 	 -0.169145 	 -15.984206 	 47.250000 
6.347332 	 0.017963 	 1.697505 	 47.250000 
6.365295 	 -0.036798 	 -3.477434 	 47.250000 
6.328497 	 0.251854 	 23.800223 	 47.250000 
6.580351 	 0.290257 	 27.429285 	 47.250000 
6.870608 	 0.175190 	 16.555485 	 47.250000 
7.045798 	 -0.155698 	 -14.713486 	 47.250000 
6.890100 	 -0.172353 	 -16.287340 	 47.250000 
6.717747 	 0.005569 	 0.526279 	 47.250000 
6.723316 	 -0.282540 	 -26.700065 	 47.250000 
6.440776 	 -0.021634 	 -2.044382 	 47.250000 
6.419142 	 0.084954 	 8.028179 	 47.250000 
6.504096 	 0.035701 	 3.373698 	 47.250000 
6.539797 	 -0.110577 	 -10.449549 	 47.250000 
6.429220 	 0.269631 	 25.480110 	 47.250000 
6.698850 	 0.445842 	 42.132053 	 47.250000 
7.144692 	 -0.636065 	 -60.108118 	 47.250000 
6.508628 	 -0.461630 	 -43.624064 	 47.250000 
6.046997 	 -0.335375 	 -31.692953 	 47.250000 
5.711622 	 -0.035933 	 -3.395621 	 47.250000 
5.675690 	 0.543088 	 51.321790 	 47.250000 
6.218777 	 0.364256 	 34.422221 	 47.250000 
6.583034 	 -0.482459 	 -45.592357 	 47.250000 
6.100575 	 0.714656 	 67.535001 	 47.250000 
6.815231 	 0.386083 	 36.484807 	 47.250000 
7.201313 	 -0.153626 	 -14.517639 	 47.250000 
7.047688 	 -0.288686 	 -27.280862 	 47.250000 
6.759001 	 -0.328804 	 -31.071963 	 47.250000 
6.430197 	 -0.039529 	 -3.735461 	 47.250000 
6.390669 	 0.447945 	 42.330778 	 47.250000 
6.838614 	 -0.063523 	 -6.002883 	 47.250000 
6.775091 	 -0.030656 	 -2.897009 	 47.250000 
6.744435 	 0.146039 	 13.800680 	 47.250000 
6.890474 	 0.014397 	 1.360504 	 47.250000 
6.904871 	 -0.253669 	 -23.971681 	 47.250000 
6.651202 	 -0.413859 	 -39.109665 	 47.250000 
6.237343 	 0.086732 	 8.196143 	 47.250000 
6.324075 	 -0.012370 	 -1.169011 	 47.250000 
6.311704 	 0.194577 	 18.387568 	 47.250000 
6.506282 	 0.509742 	 48.170580 	 47.250000 
7.016023 	 0.022445 	 2.121045 	 47.250000 
7.038468 	 -0.146563 	 -13.850187 	 47.250000 
6.891905 	 -0.224779 	 -21.241600 	 47.250000 
6.667127 	 -0.335058 	 -31.663023 	 47.250000 
6.332068 	 -0.124055 	 -11.723153 	 47.250000 
6.208014 	 0.616627 	 58.271281 	 47.250000 
6.824641 	 0.644031 	 60.860930 	 47.250000 
7.468672 	 0.141697 	 13.390380 	 47.250000 
7.610369 	 -0.199711 	 -18.872683 	 47.250000 
7.410658 	 -0.417742 	 -39.476656 	 47.250000 
6.992916 	 -0.170734 	 -16.134354 	 47.250000 
6.822182 	 -0.520301 	 -49.168432 	 47.250000 
6.301881 	 0.032543 	 3.075323 	 47.250000 
6.334424 	 0.535310 	 50.586823 	 47.250000 
6.869734 	 0.149392 	 14.117501 	 47.250000 
7.019126 	 0.123297 	 11.651548 	 47.250000 
7.142423 	 0.061674 	 5.828212 	 47.250000 
7.204097 	 -0.352173 	 -33.280315 	 47.250000 
6.851924 	 -0.204771 	 -19.350891 	 47.250000 
6.647153 	 0.283699 	 26.809594 	 47.250000 
6.930852 	 -5.263221 	 -497.374346 	 47.250000 
1.667632 	 0.677965 	 64.067676 	 47.250000 
2.345597 	 0.255649 	 24.158808 	 47.250000 
2.601245 	 0.046225 	 4.368261 	 47.250000 
2.647470 	 0.087075 	 8.228542 	 47.250000 
2.734545 	 0.144678 	 13.672089 	 47.250000 
2.879223 	 0.067541 	 6.382612 	 47.250000 
2.946764 	 -0.017305 	 -1.635325 	 47.250000 
2.929459 	 -0.004248 	 -0.401468 	 47.250000 
2.925211 	 0.006833 	 0.645743 	 47.250000 
2.932044 	 0.140861 	 13.311334 	 47.250000 
3.072904 	 0.087480 	 8.266877 	 47.250000 
3.160385 	 -0.204335 	 -19.309611 	 47.250000 
2.956050 	 -0.235817 	 -22.284738 	 47.250000 
2.720233 	 -0.114025 	 -10.775400 	 47.250000 
2.606207 	 -0.112934 	 -10.672255 	 47.250000 
2.493274 	 -0.176739 	 -16.701849 	 47.250000 
2.316534 	 -0.042645 	 -4.029978 	 47.250000 
2.273889 	 0.169733 	 16.039810 	 47.250000 
2.443623 	 0.184684 	 17.452657 	 47.250000 
2.628307 	 0.042436 	 4.010170 	 47.250000 
2.670742 	 -0.145523 	 -13.751934 	 47.250000 
2.525219 	 -0.050947 	 -4.814470 	 47.250000 
2.474273 	 0.199661 	 18.868003 	 47.250000 
2.673934 	 0.230321 	 21.765294 	 47.250000 
2.904254 	 0.050335 	 4.756634 	 47.250000 
2.954589 	 -0.046026 	 -4.349481 	 47.250000 
2.908563 	 -0.099084 	 -9.363410 	 47.250000 
2.809479 	 -0.226797 	 -21.432363 	 47.250000 
2.582682 	 -0.214814 	 -20.299898 	 47.250000 
2.367868 	 -0.067366 	 -6.366058 	 47.250000 
2.300502 	 0.076215 	 7.202305 	 47.250000 
2.376717 	 0.212128 	 20.046057 	 47.250000 
2.588845 	 0.231674 	 21.893156 	 47.250000 
2.820518 	 0.169989 	 16.063933 	 47.250000 
2.990507 	 0.015237 	 1.439920 	 47.250000 
3.005744 	 -0.060423 	 -5.710005 	 47.250000 
2.945321 	 -0.027004 	 -2.551899 	 47.250000 
2.918317 	 -0.135279 	 -12.783878 	 47.250000 
2.783038 	 -0.233388 	 -22.055166 	 47.250000 
2.549650 	 -0.008902 	 -0.841268 	 47.250000 
2.540747 	 0.284232 	 26.859966 	 47.250000 
2.824980 	 0.166590 	 15.742760 	 47.250000 
2.991570 	 -0.152286 	 -14.391067 	 47.250000 
2.839283 	 -0.145044 	 -13.706635 	 47.250000 
2.694240 	 0.051954 	 4.909671 	 47.250000 
2.746194 	 0.140531 	 13.280134 	 47.250000 
2.886724 	 0.058354 	 5.514451 	 47.250000 
2.945078 	 0.054820 	 5.180462 	 47.250000 
2.999898 	 0.056762 	 5.364049 	 47.250000 
3.056661 	 -0.142141 	 -13.432340 	 47.250000 
2.914519 	 -0.238406 	 -22.529346 	 47.250000 
2.676114 	 -0.088419 	 -8.355570 	 47.250000 
2.587695 	 -0.004154 	 -0.392531 	 47.250000 
2.583541 	 0.175052 	 16.542432 	 47.250000 
2.758593 	 0.055169 	 5.213443 	 47.250000 
2.813762 	 -0.051111 	 -4.829959 	 47.250000 
2.762651 	 -0.053940 	 -5.097312 	 47.250000 
2.708711 	 -0.049575 	 -4.684798 	 47.250000 
2.659137 	 0.039180 	 3.702484 	 47.250000 
2.698317 	 0.144138 	 13.621008 	 47.250000 
2.842454 	 0.131111 	 12.389965 	 47.250000 
2.973565 	 0.045826 	 4.330558 	 47.250000 
3.019391 	 -0.086704 	 -8.193505 	 47.250000 
2.932687 	 -0.152011 	 -14.365018 	 47.250000 
2.780677 	 -0.016373 	 -1.547248 	 47.250000 
2.764304 	 0.033192 	 3.136685 	 47.250000 
2.797496 	 0.052290 	 4.941399 	 47.250000 
2.849786 	 0.063983 	 6.046405 	 47.250000 
2.913769 	 0.092964 	 8.785106 	 47.250000 
3.006733 	 -0.018269 	 -1.726460 	 47.250000 
2.988464 	 -0.153484 	 -14.504235 	 47.250000 
2.834980 	 -0.069202 	 -6.539615 	 47.250000 
2.765777 	 0.062234 	 5.881071 	 47.250000 
2.828011 	 0.073604 	 6.955585 	 47.250000 
2.901615 	 0.019311 	 1.824869 	 47.250000 
2.920926 	 -0.026284 	 -2.483807 	 47.250000 
2.894642 	 -0.045625 	 -4.311595 	 47.250000 
2.849017 	 0.082810 	 7.825555 	 47.250000 
2.931827 	 0.197685 	 18.681253 	 47.250000 
3.129512 	 -0.065809 	 -6.218946 	 47.250000 
3.063703 	 -0.234591 	 -22.168850 	 47.250000 
2.829112 	 -0.140965 	 -13.321207 	 47.250000 
2.688147 	 0.068094 	 6.434860 	 47.250000 
2.756241 	 0.139926 	 13.222975 	 47.250000 
2.896166 	 0.163538 	 15.454370 	 47.250000 
3.059705 	 -0.014359 	 -1.356934 	 47.250000 
3.045346 	 -0.293291 	 -27.716002 	 47.250000 
2.752055 	 -0.163949 	 -15.493159 	 47.250000 
2.588106 	 0.101491 	 9.590913 	 47.250000 
2.689597 	 0.155586 	 14.702872 	 47.250000 
2.845183 	 0.092706 	 8.760717 	 47.250000 
2.937889 	 -0.041063 	 -3.880440 	 47.250000 
2.896826 	 -0.177417 	 -16.765927 	 47.250000 
2.719409 	 -0.184115 	 -17.398869 	 47.250000 
2.535294 	 -0.125102 	 -11.822125 	 47.250000 
2.410192 	 0.001618 	 0.152921 	 47.250000 
2.411810 	 0.166366 	 15.721629 	 47.250000 
2.578177 	 0.180204 	 17.029319 	 47.250000 
